"","question_no","name","tabled_dt","response_name","response_dt","question","answer","welsh","withdrawn","number"
"25","WAQ71269","Janet Finch-Saunders",2016-10-18,"Cabinet Secretary for Health, Well-being and Sport",2016-10-25,"What steps is the Minister taking to ensure improved engagement by Local Authorities with local disability and sensory deprivation groups, in relation to the next phase of the Active Travel (Wales) Act?","As the active travel agenda moves forward we are committed to ensuring that the views of disabled people are heard and are able to shape that development. The active travel Delivery Guidance to which local authorities must have regard, provides an emphasis on the need for engagement with people with protected characteristics under Equality legislation, and in particular disabled people. Our last Active Travel annual conference focused on how the reach of active travel can be widened, to increase participation among disabled people, women, BME groups and older people and we are determined to ensure that this remains a key outcome of the interventions we will shape to promote walking and cycling. I have recently written to all local authority leaders to highlight the importance of the agenda and seek their commitment to working closely with Welsh Government officials throughout the next stages of the Act via a series of regional fora to promote best practice. Officials will work with local authority partners and others to develop best practice guidance, consultation and engagement with diverse groups will form a key plank of that work.",FALSE,FALSE,25
"26","WAQ71270","Darren Millar",2016-10-19,"Cabinet Secretary for Health, Well-being and Sport",2016-11-01,"Will the Minister provide an explanation for the extension of the terms of office of both the Chair and Vice Chair of the Betsi Cadwaladr University Health Board, including why there was no public consultation on these decisions?","There has been no extension or re-appointment to the Chair of Betsi Cadwaladr University Health Board. The Vice Chair has recently been re-appointed for a further 12 months until 30 November 2017. I considered the re-appointment on the recommendation from the chair to re-appoint for a further 12 months and in line with the Commissioners for Public Appointment Code of Practice. Under the Code of Practice there is no requirement for public consultation. Ministers may re-appoint or extend the terms of public appointees or statutory office holders.",FALSE,FALSE,26
"27","WAQ71277","Mark Isherwood",2016-10-19,"Cabinet Secretary for Communities and Children",2016-11-01,"How is this Government supporting third sector organisations to deliver additional training and support to Foster Carers?","The implementation of a National Fostering Framework for Wales, as part of our Improving Outcomes for Children programme, will improve support to foster carers and children and young people who are fostered in Wales. The framework is being developed by local government in partnership with third sector and other agencies, supported by project development funding from the Welsh Government.  The framework aims to ensure that the best quality foster care placements are available to children who need them, and that foster carers are valued, supported and receive excellent training. Foster carers have been actively involved in shaping the framework. A key objective is to achieve a more consistent approach to recruiting and supporting foster carers. Progress in implementing the framework will be overseen by the Ministerial Advisory Group on Improving Outcomes for Children, chaired by David Melding AM.  The Improving Outcomes for Children programme will be informed by relevant research and approaches, including recent work on Adverse Childhood Experiences in the lives of looked after children and children on the edge of care.  We are funding two fostering organisations under the Sustainable Social Services grant programme for three years from 2016-17. The Excellence in Foster Care Wales project being delivered by the Fostering Network is supporting foster carers and fostering services to improve outcomes for children and young people in foster care. This will involve setting up a national central of training excellence in foster care, and a fostering ambassadors programme, as well as continued development of Fosterline Wales. The Securing Permanence project managed by the Association for Fostering and Adoption Cymru (part of the St David's Children's Society) provides specialist advice and training fostering, adoption and special guardianship. This includes a bilingual advice and information service for those affected by permanency issues, including foster carers.",FALSE,FALSE,27
"28","WAQ71278","Andrew R.T. Davies",2016-10-19,"Cabinet Secretary for Economy and Infrastructure",2016-11-01,"Will the Minister confirm how much Welsh Government money has been spent on improvements to Troed-y-rhiw railway station in the past 18 months, and what percentage this makes up of the total amount spent on improving the station?","We have spent £300k (incl VAT) of Welsh Government capital funds on improvements at this station. As far as we are aware, this represents the only significant investment in the station.",FALSE,FALSE,28
"29","WAQ71279","Suzy Davies",2016-10-19,"Cabinet Secretary for Economy and Infrastructure",2016-11-01,"What advice and assistance has been given by Cadw to Neath Port Talbot County Borough Council about the upkeep and preservation of the Neath Abbey Ironworks, a scheduled ancient monument?","My officials in Cadw visited Neath Abbey Ironworks last year with a representative of Neath Port Talbot County Borough Council and provided advice on improving the condition of the monument, including the removal of rubbish and vegetation clearance. They will be contacting the Council again shortly to review progress of these clearance works and to provide further advice on the next steps.",FALSE,FALSE,29
"30","WAQ71282","Suzy Davies",2016-10-19,"Cabinet Secretary for Health, Well-being and Sport",2016-11-01,"What engagement with young people does the Welsh Government expect from the Time to Change Wales scheme, what monitoring of young people's perceptions of mental health has the Welsh Government carried out, and what are the results of this monitoring?","Improving the mental health of the people of Wales is a priority for the Welsh Government and one of the key themes included in ‘Together for Health’, a five year vision for the NHS in Wales. Tackling the stigma and discrimination associated with mental illness are key to this. That is why we have supported the Time to Change Wales (TTCW) programme with the Big Lottery fund and Comic Relief since 2012 and have continued to support and work with TTCW, through Phase 2 of the programme along with Comic Relief. We also support the TTCW campaign by embedding the key messages throughout our programmes, for example tackling stigma is a core element of our Healthy Working Wales Programme, which engages with a wide range of organisations across Wales. Learning from experiences of young people with mental health problems is one of the most effective ways to change the negative behaviour and attitudes of others. TTCW’s Young Person’s Programme funded by the Big Lottery is a 3 year focused anti-stigma and discrimination programme led by, and for, young people, building on the Time To Change Wales work with adults. Over the course of the project, 50 Young Champions are expected to directly engage with at least 5,000 young people. This involves working in partnership with nine schools clustered in three areas across Wales embedding a whole school approach to mental health awareness, anti-stigma messaging and activity. It is hoped that by the end of the project over 20,000 young people will have engaged with the associated social marketing campaign. Regular monitoring is a core element of the programme and is embedded in the partnership agreement. Phase 1 of the programme (2012-2014) has been evaluated to seek evidence on attitudes and behaviours of the general public, and target audiences and campaign participants including TTCW champions. The public attitude survey has been repeated for Phase 2 of the programme, with the final report expected in Summer 2017. In terms of young people, data from the Health Behaviour in School-aged Children (HBSC) study suggest that the proportions reporting high life satisfaction have remained stable over time[1]. Similarly, adult data from the Welsh Health Survey show that mental (and physical) wellbeing scores have remained similar since 2003/04, although there has been a slight decline in mental wellbeing scores[2]. Moving forward, in February 2017, we will be supporting three mental health charities, Mind, Cymru, Gofal and Hafal with a State of Stigma event. The event will bring together key organisations and professionals to consider the work undertaken in Wales by TTCW along with wider work across the UK. The event will provide an invaluable opportunity to help inform our thinking and assist in the development of future work and priorities. [1] http://gov. wales/docs/caecd/research/2015/151022-health-behaviour-school-children-2013-14-key-findings-en. pdf[2] http://gov. wales/docs/statistics/2016/160622-welsh-health-survey-2015-health-status-illnesses-other-conditions-en. pdf",FALSE,FALSE,30
"31","WAQ71284","Mohammad Asghar",2016-10-20,"Cabinet Secretary for Economy and Infrastructure",2016-11-01,"Will the Minister advise when the proposed improvements to the M4 at Junction 28 will commence?","The programme for the improvement works to junction 28 of the M4 at Tredegar Park roundabout has been adjusted to avoid clashing with ongoing construction works on Newport Council's highway network associated with rail electrification. The works are now programmed to start in February 2017, subject to commercial agreements with the Contractor, Newport City Council and the Southern Distributor Road Concessionaire, Morgan Vinci Limited.",FALSE,FALSE,31
"32","WAQ70382","Janet Finch-Saunders",2016-06-08,"Cabinet Secretary for Communities and Children",2016-06-14,"Will the Minister provide a breakdown of expenditure by the Welsh Government on the community assets transfer pilot since 2015, as well as expenditure on consultations for community asset transfers?","The Welsh Government committed £36,500 to fund the Community Asset Transfer Support Officer post, hosted at Gwent Association of Voluntary Organisations (GAVO), between 1st April 2015 and 31st March 2016. A further £20,035 has been committed to extend this pilot until 30th September 2016. The Welsh Government has not entered into any Community Asset Transfers. Consequently, no consultations on Community Asset Transfers have been required and thus no funds have been expended.",FALSE,FALSE,32
"33","WAQ70383","Janet Finch-Saunders",2016-06-08,"Cabinet Secretary for Communities and Children",2016-06-14,"What assessment has the Minister made regarding the pilot scheme with the Gwent Association of Voluntary Organisations and its effects on community asset transfers?","The pilot scheme was extended to 30 September 2016 and so is not yet complete.",FALSE,FALSE,33
"34","WAQ70384","Janet Finch-Saunders",2016-06-08,"Cabinet Secretary for Environment and Rural Affairs",2016-06-14,"Will the Minister detail any future plans he has for increasing community rights during the planning process in Wales, such as submitting Neighbourhood Plans and challenging Local Development Plans?","Existing legislation already provides opportunities for communities to engage in Local Development Plans at all stages of the process. Place Plans prepared in partnership between Local Planning Authorities and Town and Community Councils provide further opportunities for communities to influence the location and type of development. Place Plans can be adopted by the Local Planning Authority as Supplementary Planning Guidance.",FALSE,FALSE,34
"35","WAQ70385","Janet Finch-Saunders",2016-06-08,"Cabinet Secretary for Finance and Local Government",2016-06-14,"Will the Minister outline Welsh Government plans to increase voter turnout for local authority elections in 2017?","The conduct of local authority elections is currently a matter for the UK Government. However, in light of the proposals to devolve responsibility set out in the draft Wales Bill, I will be holding a seminar in the autumn involving a wide range of stakeholders to consider the possibilities for improving the conduct and turnout of local authority elections in Wales.",FALSE,FALSE,35
"36","WAQ70386","Janet Finch-Saunders",2016-06-08,"Cabinet Secretary for Finance and Local Government",2016-06-14,"With regard to funding supplied by Welsh Government to local authorities to increase voter registration in 2015, will the Minister detail any further funding allocated to local authorities to increase voter turnout in the 2017 elections?","The funding allocated to local authorities in March 2016 was specifically in response to the UK Government decision to end the transitional arrangements for Individual Voter Registration early. The responsibility for increasing voter registration in the 2017 elections rests with the Electoral Registration Officer in the individual local authority. However, other initiatives such as the Behavioural Insights Team’s work on voter registration and the Democracy Club’s ‘Find your Polling Station’ website will support that work.",FALSE,FALSE,36
"37","WAQ70387","Janet Finch-Saunders",2016-06-08,"Cabinet Secretary for Finance and Local Government",2016-06-14,"What steps has the Minister taken to address the Electoral Commission's report 'Local Elections In Wales 2012', which showed that 45 percent of people surveyed in Wales did not know what the local elections were about?","The Electoral Commission itself is responsible for promoting public awareness of all elections and referenda.  I will be meeting the Commission soon and look forward to hearing their plans for promoting the 2017 Local Government elections.",FALSE,FALSE,37
"38","WAQ70388","Janet Finch-Saunders",2016-06-09,"Cabinet Secretary for Finance and Local Government",2016-06-14,"What discussions has the Minister held with the UK Government regarding voter turnout in the Welsh Assembly elections and, in particular, poor voter turnout in Alyn and Deeside?","I have not held any discussions with the UK Government regarding voter turnout. The Electoral Commission has a duty to report on all elections and will produce a report on the 2016 Welsh Assembly elections including voters’ experience.",FALSE,FALSE,38
"39","WAQ70389","Janet Finch-Saunders",2016-06-09,"Cabinet Secretary for Health, Well-being and Sport",2016-06-16,"What assessment has the Minister made of the impact that increased uptake of cervical screening among women over 50 would have on incidence of cervical cancer in this age group?","Cervical cancer screening has a significant impact on reducing cervical cancer incidence and incidence rates have fallen considerably since the inception of Cervical Screening Wales. A recent report by Cancer Research UK (CRUK) estimated the incidence of invasive cervical cancer in women aged 50-64 in Wales would be nearly four times higher were it not for the screening programme.",FALSE,FALSE,39
"40","WAQ70390","Janet Finch-Saunders",2016-06-09,"Cabinet Secretary for Health, Well-being and Sport",2016-06-16,"What assessment has the Minister made of the barriers to increasing uptake of cervical screening among women over 50?","The Screening Engagement team of Public Health Wales is working with local Public Health Teams, Health Boards and Primary Care clusters to consider cervical screening uptake in each region and plan specific activities to improve uptake. Cervical screening remains a priority for the Welsh Government, as demonstrated by the implementation of Human Papillomavirus (HPV) test of cure* across Wales over the last 18 months and the roll out of HPV triage** from May 2016. These developments will result in fewer colposcopies and repeat smears being undertaken, and as a consequence we anticipate this will have a positive impact on uptake rates. *Women who have had treatment for abnormal smears are now tested for HPV when they have a follow up smear six months later. If the HPV test is negative they will be called for a smear again in three years, rather than being invited back for colposcopy or annual follow up smears (which could have continued for up to 10 years).  **Women who have a low grade abnormality on their smear currently have two or three repeat smears before being either referred to colposcopy or returned to normal recall. Adding a HPV test to the first abnormal smear will identify women who need immediate referral and those who can safely remain on normal recall.",FALSE,FALSE,40
"41","WAQ70391","Janet Finch-Saunders",2016-06-09,"Cabinet Secretary for Health, Well-being and Sport",2016-06-16,"What discussions has the Minister had with public health bodies to increase cervical screening uptake amongst women over 50?","Coverage of cervical screening across Wales is very close to the target of 80%. Overall coverage rates in 2014/15 saw a slight drop (78% in 2014/15 from 78. 4% in 2013-14), in line with the trend seen in other countries. Participation among the over 50s remains high. Coverage for women aged 50-64 was 76. 3% in 2014/15 compared to 76. 8% in 2013/14. We know that cervical screening saves lives and we have tasked Public Health Wales, who are responsible for the delivery of the national population screening programmes in Wales, to meet and exceed the performance targets set for Cervical Screening Wales. As an NHS Trust, Public Health Wales is part of the wider NHS planning and performance system and the organisation’s delivery framework and Integrated Medium Term Plan include key actions and service performance indicators for Cervical Screening Wales. Performance is scrutinised on a number of levels, including periodic ministerial meetings with the Chair of Public Health Wales, bi-annual joint executive team meetings between Welsh Government and Public Health Wales’ executives and more frequent meetings with policy officials.",FALSE,FALSE,41
"42","WAQ70392","Janet Finch-Saunders",2016-06-09,"Cabinet Secretary for Health, Well-being and Sport",2016-06-16,"Will the Welsh Government outline what the incidence rate of cervical cancer was for women over 50 in each of the last 10 years for which data is available?","The Welsh Cancer Intelligence and Surveillance Unit (WCISU) is the National Cancer Registry for Wales. It records, stores and reports on all incidence of cancer for the resident population of Wales wherever they are treated. I attach a link to the WCISU website, which contains both data tables and interactive tools on cervical cancer incidence: http://www.wcisu.wales.nhs.uk/home",FALSE,FALSE,42
"43","WAQ70393","Andrew R.T. Davies",2016-06-10,"Cabinet Secretary for Education",2016-06-21,"Will the Minister outline any plans to include financial education in the school curriculum?","Since 2008, financial education has been embedded in the school curriculum in Wales through the programme of study for mathematics, and also in the non statutory frameworks for Personal and Social Education and Careers and the World of Work. In addition, the National Literacy and Numeracy Framework, which has been a statutory curriculum requirement since September 2013, contains a 'manage money' element clearly setting out year on year progression in learners' development of these important skills. In September 2015 a new statutory programme of study for mathematics was introduced across primary and secondary settings with the literacy and numeracy components of the LNF embedded within it, including the manage money strand. Consequently, financial education and money management now also features within the new GCSEs in Mathematics and Mathematics – Numeracy, which commenced first teaching last September. The Welsh Government has developed a suite of resources, made available on Hwb and the Learning Wales websites. Teachers can use these to enhance subject knowledge and identify opportunities to deliver financial education in the classroom. We have asked our independent Inspectorate for Education and Training in Wales, Estyn, to undertake a thematic review on the quality of provision of financial education in primary and secondary schools. I want this review to consider how well the teaching and learning of financial education is progressing to inform future curriculum development. The Estyn review will also give us a clear steer on areas for improvement, and indicate areas of good practice for schools and regional consortia. Successful Futures recommends that the curriculum is organised into Areas of Learning and Experience (AoLE) with literacy, numeracy and digital competence as cross-curriculum responsibilities, recognising these skills to be essential to successful participation in the modern world. My officials are currently working with teaching professionals from the Pioneer Schools Network on the design and development of the new curriculum and assessment arrangements. Financial Education will be considered within the context of this work. As set out in A curriculum for Wales: a curriculum for life, the ambition is for the new curriculum (3-16) be used to support learning and teaching in schools and settings from September 2021.",FALSE,FALSE,43
"44","WAQ70394","Adam Price",2016-06-10,"Cabinet Secretary for Environment and Rural Affairs",2016-06-16,"Will the Minister confirm whether the Welsh Government's safety standards for walls include wall ties and foundations to British Standards safety standards, given that the Scottish Government has recently closed 17 schools to check their walls have wall ties?","Part A (Structure) of Schedule 1 of the Building Regulations 2010 provides the regulatory requirements for the construction of foundations and wall construction, including the use of wall ties. Welsh Ministers provide guidance on the more common methods of meeting the requirements of Part A through Approved Document A (Structure).",FALSE,FALSE,44
"45","WAQ70395","Andrew R.T. Davies",2016-06-13,"Cabinet Secretary for Health, Well-being and Sport",2016-06-21,"Do you have any strategy in place to generate a greater awareness of arthritis and musculoskeletal conditions, particularly with a focus on prevention and early intervention?","Through the national primary care plan and the service and development directive for arthritis and musculoskeletal conditions we continue to raise awareness and support people to reduce their risk of these conditions and, where they do occur, to assess, diagnose and provide ongoing care as locally and as quickly as possible. We plan to refresh the directive later this year.The national primary care fund is supporting the development of integrated multi professional teams in the community employing additional physiotherapists. People can access this service directly without waiting to be referred by a GP. This will also enable those patients who need to be seen in secondary care to be seen more quickly.",FALSE,FALSE,45
"46","WAQ70396","Andrew R.T. Davies",2016-06-13,"Cabinet Secretary for Health, Well-being and Sport",2016-06-21,"Will the Minister outline any plans to foster more timely access to treatments for arthritis and musculoskeletal conditions?","Through the national primary care plan and the service and development directive for arthritis and musculoskeletal conditions we continue to raise awareness and support people to reduce their risk of these conditions and, where they do occur, to assess, diagnose and provide ongoing care as locally and as quickly as possible. We plan to refresh the directive later this year. The national primary care fund is supporting the development of integrated multi professional teams in the community employing additional physiotherapists. People can access this service directly without waiting to be referred by a GP. This will also enable those patients who need to be seen in secondary care to be seen more quickly.",FALSE,FALSE,46
"47","WAQ70397","Steffan Lewis",2016-06-14,"Cabinet Secretary for Economy and Infrastructure",2016-06-21,"What is the import/export value of Welsh trade with each European state, including non-EU members?","For the year up to March 2016, the value of exports from Wales was estimated at £12,058m, of which £4,800m was to European countries. Data for each country are published on StatsWales. Data on imports is published by HMRC, as part of the Regional Trade Statistics statistical release, however it is important to note that HMRC highlight that this data is of limited quality due to issues when matching to regions (see the Quality report of the HMRC release for more detail). Estimates for imports to Wales for the year up to March 2016 were £7,004m, of which £3,555m was from European countries.",FALSE,FALSE,47
